symbol,name,reportDate,fiscalDateEnding,estimate,currency
ASAN,Asana Inc - Class A,2021-12-02,2021-10-31,-0.26,USD
ASB,Associated Banc-Corp,2022-01-19,2021-12-31,0.41,USD
ASC,Ardmore Shipping Corp,2022-02-08,2021-12-31,-0.18,USD
ASGN,ASGN Inc,2022-02-08,2021-12-31,1.35,USD
ASGTF,ASGTF,2022-02-22,2021-12-31,,USD
ASH,Ashland Global Holdings Inc,2022-02-01,2021-12-31,0.91,USD
ASIX,AdvanSix Inc,2022-02-17,2021-12-31,0.85,USD
ASMB,Assembly Biosciences Inc,2022-02-23,2021-12-31,-0.46,USD
ASO,Academy Sports and Outdoors Inc,2021-12-10,2021-10-31,1.03,USD
ASPN,Aspen Aerogels Inc,2022-02-16,2021-12-31,-0.29,USD
ASPU,Aspen Group Inc,2021-12-13,2021-10-31,-0.04,USD
ASRV,Ameriserv Financial Inc,2022-01-24,2021-12-31,,USD
ASTC,Astrotech Corp,2022-02-14,2021-12-31,,USD
ASYS,Amtech Systems Inc,2022-02-09,2021-12-31,0.09,USD
ATAX,America First Multifamily Investors LP,2022-02-02,2021-12-31,0.11,USD
ATBPF,ATBPF,2022-02-10,2021-12-31,-0.11,CAD
ATCMF,ATCMF,2022-01-18,2021-12-31,,USD
ATEN,A10 Networks Inc,2022-02-07,2021-12-31,0.17,USD
ATEX,Anterix Inc,2022-02-07,2021-12-31,-0.66,USD
ATGE,Adtalem Global Education Inc,2022-01-31,2021-12-31,1.03,USD
ATGN,ATGN,2022-02-08,2021-12-31,,USD
ATH,Athene Holding Ltd - Class A,2022-02-15,2021-12-31,2.53,USD
ATHM,Autohome Inc,2022-01-31,2021-12-31,0.72,CNY
ATI,Allegheny Technologies Inc,2022-01-26,2021-12-31,0.1,USD
ATIXF,ATIXF,2021-11-29,2021-09-30,,USD
ATKR,Atkore Inc,2022-01-31,2021-12-31,3.56,USD
ATLO,Ames National Corp,2022-01-20,2021-12-31,,USD
ATNI,ATN International Inc,2022-02-21,2021-12-31,0.07,USD
ATO,Atmos Energy Corp,2022-01-31,2021-12-31,1.86,USD
ATR,Aptargroup Inc,2022-02-16,2021-12-31,0.92,USD
ATRC,Atricure Inc,2022-02-21,2021-12-31,-0.29,USD
ATRI,Atrion Corp,2022-02-24,2021-12-31,,USD
ATRO,Astronics Corp,2022-02-21,2021-12-31,-0.03,USD
ATSAF,ATSAF,2022-02-01,2021-12-31,,USD
ATSG,Air Transport Services Group Inc,2022-02-23,2021-12-31,0.54,USD
ATUS,Altice USA Inc - Class A,2022-02-08,2021-12-31,0.51,USD
ATVI,Activision Blizzard Inc,2022-02-02,2021-12-31,1.33,USD
ATZAF,ATZAF,2022-01-11,2021-11-30,,USD
AUB,Atlantic Union Bankshares Corp,2022-01-24,2021-12-31,0.74,USD
AUBN,Auburn National Bancorp Inc,2022-01-27,2021-12-31,,USD
AUD,Audacy Inc - Class A,2022-02-22,2021-12-31,0.12,USD
AUDC,Audiocodes,2022-01-24,2021-12-31,0.38,USD
